timestamp,gpu_uuid,util_pct,mem_used_mib,mem_total_mib,temp_c,power_w,power_limit_w,sm_mhz,mem_mhz,pstate,throttle_reason
2026-07-10T06:56:49,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 64, 101.91, 320.00, 1935, 9501, P0, 0x0000000000000000
2026-07-10T06:56:49,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 18.02, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:56:50,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 64, 116.33, 320.00, 1935, 9501, P0, 0x0000000000000000
2026-07-10T06:56:50,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.92, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:56:51,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 63, 110.93, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:56:51,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.85, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:56:52,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 63, 100.90, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:56:52,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.91, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:56:53,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 62, 96.46, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:56:53,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.86, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:56:54,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 62, 96.24, 320.00, 1740, 9251, P2, 0x0000000000000000
