timestamp,gpu_uuid,util_pct,mem_used_mib,mem_total_mib,temp_c,power_w,power_limit_w,sm_mhz,mem_mhz,pstate,throttle_reason
2026-07-10T06:59:36,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 65, 101.78, 320.00, 1935, 9501, P0, 0x0000000000000000
2026-07-10T06:59:36,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.69, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:37,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 65, 117.21, 320.00, 1935, 9501, P0, 0x0000000000000000
2026-07-10T06:59:37,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.42, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:38,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 63, 112.60, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:59:38,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.28, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:39,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 63, 102.89, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:59:39,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.48, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:40,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 63, 96.92, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:59:40,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.52, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:41,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 62, 96.74, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:59:41,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.53, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:42,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 12, 6007, 10240, 62, 96.62, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:59:42,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.66, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:44,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 12, 6007, 10240, 62, 96.76, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:59:44,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.57, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:45,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 12, 3381, 10240, 63, 114.27, 320.00, 1965, 9251, P2, 0x0000000000000000
2026-07-10T06:59:45,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.60, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:46,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 14, 3381, 10240, 63, 123.98, 320.00, 1965, 9251, P2, 0x0000000000000000
2026-07-10T06:59:46,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.74, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:47,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 3381, 10240, 61, 101.43, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:59:47,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.60, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:48,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 3381, 10240, 61, 95.87, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:59:48,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.54, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:49,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 3381, 10240, 61, 95.51, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:59:49,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.68, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:50,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 3381, 10240, 61, 95.33, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:59:50,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.68, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:59:51,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 3381, 10240, 60, 95.17, 320.00, 1740, 9251, P2, 0x0000000000000000
