timestamp,gpu_index,gpu_uuid,utilization_pct,memory_used_mib,memory_total_mib,temperature_c,power_w,sm_clock_mhz,mem_clock_mhz,pstate
2026-07-10T02:46:27,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 38, 5.09, 210, 405, P8
2026-07-10T02:46:27,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4503, 10240, 42, 17.69, 210, 405, P8
2026-07-10T02:46:28,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 38, 5.25, 210, 405, P8
2026-07-10T02:46:28,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 25, 4587, 10240, 56, 96.44, 1980, 9251, P2
2026-07-10T02:46:29,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 38, 6.04, 210, 405, P8
2026-07-10T02:46:29,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 39, 4697, 10240, 60, 224.66, 1965, 9251, P2
2026-07-10T02:46:30,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 38, 6.64, 210, 405, P8
2026-07-10T02:46:30,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 49, 4697, 10240, 62, 239.31, 1965, 9251, P2
2026-07-10T02:46:31,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.99, 210, 405, P8
2026-07-10T02:46:31,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 68, 4697, 10240, 64, 240.98, 1965, 9251, P2
2026-07-10T02:46:32,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.87, 210, 405, P8
2026-07-10T02:46:32,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 40, 4697, 10240, 63, 236.88, 1965, 9251, P2
2026-07-10T02:46:33,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.98, 210, 405, P8
