timestamp,gpu_index,gpu_uuid,utilization_pct,memory_used_mib,memory_total_mib,temperature_c,power_w,sm_clock_mhz,mem_clock_mhz,pstate
2026-07-10T02:19:34,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.75, 210, 405, P8
2026-07-10T02:19:34,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 70, 4693, 10240, 67, 256.68, 1950, 9251, P2
2026-07-10T02:19:35,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.71, 210, 405, P8
2026-07-10T02:19:35,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 65, 4693, 10240, 68, 254.88, 1950, 9251, P2
2026-07-10T02:19:36,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.89, 210, 405, P8
2026-07-10T02:19:36,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 58, 4693, 10240, 68, 256.39, 1950, 9251, P2
2026-07-10T02:19:37,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.75, 210, 405, P8
2026-07-10T02:19:37,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 69, 4693, 10240, 68, 259.70, 1950, 9251, P2
2026-07-10T02:19:38,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.75, 210, 405, P8
2026-07-10T02:19:38,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 70, 4693, 10240, 68, 260.52, 1950, 9251, P2
2026-07-10T02:19:39,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.85, 210, 405, P8
2026-07-10T02:19:39,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 58, 4693, 10240, 67, 254.83, 1950, 9251, P2
2026-07-10T02:19:40,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.61, 210, 405, P8
2026-07-10T02:19:40,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 58, 4693, 10240, 69, 257.29, 1950, 9251, P2
2026-07-10T02:19:41,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.62, 210, 405, P8
2026-07-10T02:19:41,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 57, 4693, 10240, 69, 259.33, 1950, 9251, P2
2026-07-10T02:19:42,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.81, 210, 405, P8
2026-07-10T02:19:42,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 71, 4693, 10240, 69, 261.18, 1950, 9251, P2
2026-07-10T02:19:43,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.73, 210, 405, P8
2026-07-10T02:19:43,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 63, 4693, 10240, 69, 262.31, 1950, 9251, P2
2026-07-10T02:19:44,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.72, 210, 405, P8
2026-07-10T02:19:44,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 64, 4693, 10240, 70, 261.26, 1950, 9251, P2
2026-07-10T02:19:45,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.65, 210, 405, P8
2026-07-10T02:19:45,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 59, 4693, 10240, 70, 260.78, 1935, 9251, P2
2026-07-10T02:19:46,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.48, 210, 405, P8
2026-07-10T02:19:46,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 36, 4693, 10240, 65, 210.97, 1965, 9251, P2
2026-07-10T02:19:47,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.37, 210, 405, P8
2026-07-10T02:19:47,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 56, 4693, 10240, 69, 254.81, 1950, 9251, P2
2026-07-10T02:19:49,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.67, 210, 405, P8
2026-07-10T02:19:49,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 58, 4693, 10240, 69, 254.99, 1965, 9251, P2
