timestamp,gpu_uuid,util_pct,mem_used_mib,mem_total_mib,temp_c,power_w,power_limit_w,sm_mhz,mem_mhz,pstate,throttle_reason
2026-07-10T06:45:50,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 65, 103.42, 320.00, 1935, 9501, P0, 0x0000000000000000
2026-07-10T06:45:50,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 18.05, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:45:51,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 65, 118.90, 320.00, 1935, 9501, P0, 0x0000000000000000
2026-07-10T06:45:51,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 18.16, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:45:52,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 64, 113.47, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:45:52,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 18.00, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:45:53,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 64, 102.86, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:45:53,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.91, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:45:54,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 63, 97.84, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:45:54,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.97, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:45:55,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 2605, 10240, 63, 97.69, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:45:55,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.93, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:45:56,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 12, 6007, 10240, 62, 97.26, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:45:56,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 18.12, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:45:57,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 11, 6007, 10240, 62, 97.31, 320.00, 1740, 9251, P2, 0x0000000000000000
2026-07-10T06:45:57,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.99, 320.00, 210, 405, P8, 0x0000000000000001
2026-07-10T06:45:58,GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 12, 3381, 10240, 63, 115.37, 320.00, 1965, 9251, P2, 0x0000000000000000
2026-07-10T06:45:58,GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 0, 4511, 10240, 42, 17.93, 320.00, 210, 405, P8, 0x0000000000000001
